Água
Azul turquesa
Azul turquesa brilhante
Azul brasilis
Azul brasilis brilhante
Azul Tóquio
Água-marinha
Água-marinha média
Azul celeste
Alizarina
Amarelo
Amarelo brasilis
Amarelo creme
Amarelo claro
Amarelo escuro
Amarelo esverdeado
Amarelo ouro claro
Amarelo queimado
Âmbar
Ameixa
Ametista
Amêndoa
Aspargo
Azul
Azul alice
Azul ardósia
Azul ardósia claro
Azul ardósia escuro
Azul ardósia médio
Azul areado
Azul aço
Azul aço claro
Azul cadete
Azul camarada
Azul celeste
Azul celeste brilhante
Azul claro
Azul cobalto
Azul céu
Azul céu claro
Azul céu profundo
Azul escuro
Azul flor de milho
Azul força aérea
Azul furtivo
Azul manteiga
Azul marinho
Azul meia-noite
Azul médio
Azul petróleo
Azul pólvora
Azul taparuere
Azul real
Azul violeta
Açafrão
Bege
Bordô
Borgonha
Branco
Branco antigo
Branco fantasma
Branco floral
Branco fumaça
Branco navajo
Brasil
Bronze
Caramelo
Caqui
Cardo
Carmesim
Carmim
Carmim clássico
Carmim carnáceo
Castanho avermelhado
Castanho claro
Cenoura
Cereja
Cereja Hollywood
Chocolate
Ciano
Ciano claro
Ciano escuro
Cinza
Cinza ardósia
Cinza ardósia claro
Cinza ardósia escuro
Cinza claro
Cinza escuro
Cinza fosco
Cinza médio
Cobre
Concha
Coral
Coral claro
Couro
Creme
Creme de marisco
Creme de menta
Caqui escuro
Dainise
Dourado
Dourado escuro
Dourado pálido
Ébano
Eminência
Escarlate
Esmeralda
Eucalipto
Fandango
Feldspato
Ferrugem
Flerte
Fuligem
Fúchsia
Grená
Gainsboro
Glitter
Goiaba
Herbal
Heliotrópio
Índigo
Independência
Iris
Jade
Jambo
Jasmine
Kiwi
Kobi
Kobicha
Laranja
Laranja escuro
Laranja claro
Lavanda
Lavanda avermelhada
Lilás
Limão
Lima
Linho
Madeira
Magenta
Magenta escuro
Malva
Mamão batido
Maná
Marfim
Marrom
Marrom amarelado
Marrom claro
Marrom rosado
Marrom sela
Milho
Milho Claro
Mocassim
Mostarda
Naval
Neve
Nyanza
Ocre
Oliva
Oliva escura
Oliva parda
Orquídea
Orquídea escura
Orquídea média
Ouro
Pardo
Pardo escuro
Prata
Preto
Pêssego
Púrpura
Púrpura média
Quantum
Quartz
Renda antiga
Rosa
Rosa brilhante
Rosa Choque
Rosa amoroso
Rosa claro
Rosa danação
Rosa embaçado
Rosa forte
Rosa profundo
Roxo
Roxo brasilis
Rútilo
Salmão
Salmão claro
Salmão escuro
Siena
Sépia
Tangerina
Terracota
Tijolo refratário
Tomate
Trigo
Triássico
Turquesa
Turquesa escura
Turquesa média
Turquesa pálida
Ube
Urucum
Verde
Verde espectro
Verde amarelado
Verde claro
Verde escuro
Verde floresta
Verde fluorescente
Verde lima
Verde grama
Verde mar claro
Verde mar escuro
Verde mar médio
Verde militar
Verde-oliva
Verde Paris
Verde primavera
Verde primavera médio
Verde pálido
Verde-azulado
Vermelho
Vermelho enegrecido
Vermelho escuro
Vermelho indiano
Vermelho violeta
Vermelho violeta médio
Vermelho violeta pálido
Violeta
Violeta escuro
Violeta claro
Xanadu
Zaffre
